index	confidence	rules
67  	1.000	['60KTD', 'No']=>['Nam']
68  	1.000	['60TH1', '7.1']=>['No']
69  	1.000	['60TH3', 'Nu']=>['No']
70  	1.000	['5.3', '5.5']=>['No']
71  	1.000	['6.7', '6.5']=>['No']
72  	1.000	['60TDH2', 'No']=>['Nam']
73  	1.000	['7.9', '7.4']=>['No']
74  	1.000	['5.7', '7']=>['No']
75  	1.000	['6.8', '7.5']=>['No']
76  	1.000	['6.3', '5.2']=>['No']
77  	1.000	['60TH1', '6.5']=>['No']
78  	1.000	['Nam', 'Nguyen Van']=>['No']
79  	1.000	['Nguyen Van', 'No']=>['Nam']
80  	1.000	['Nguyen Van']=>['Nam', 'No']
81  	1.000	['7', '6.8']=>['No']
82  	1.000	['7.9', 'Nu']=>['No']
83  	1.000	['60TH3', '7.5']=>['No']
84  	1.000	['6.7', '60TH1']=>['No']
85  	1.000	['6', '7.5']=>['No']
86  	1.000	['5.7', '4.6']=>['No']
87  	1.000	['5.7', '5.3']=>['No']
88  	1.000	['60TH1', 'Nu']=>['No']
89  	1.000	['6.3', 'Nu']=>['No']
90  	1.000	['6', '60TDH2']=>['Nam']
91  	1.000	['5.7', '5']=>['Nam']
92  	1.000	['60TH3', '6.8']=>['No']
93  	1.000	['6', '7.2']=>['No']
94  	1.000	['60TH1', '7.4']=>['No']
95  	1.000	['60TH1', '7.3']=>['No']
96  	1.000	['6', '6.8']=>['No']
97  	1.000	['6.6', '6.5']=>['No']
98  	1.000	['6.4', '7.6']=>['No']
99  	1.000	['6.4', '6.5']=>['No']
100 	1.000	['7.7', '7.8']=>['No']
101 	1.000	['6', '4.2']=>['No']
102 	1.000	['6.3', '6.8']=>['No']
103 	1.000	['6', '5.3']=>['No']
104 	1.000	['60TH1', '6.8']=>['No']
105 	1.000	['6.5', '7.5']=>['No']
106 	1.000	['6', '7.7']=>['No']
107 	1.000	['5.8', '5.3']=>['No']
108 	1.000	['9.4', 'Nam']=>['No']
109 	1.000	['7', '5.2']=>['No']
110 	1.000	['9.3', 'Nam']=>['No']
111 	1.000	['7.3', '8.1']=>['No']
112 	1.000	['5', '5.5']=>['No']
113 	1.000	['5.8', '60TH3']=>['No']
114 	1.000	['5.7', '6.8']=>['No']
115 	1.000	['5.7', '5']=>['No']
116 	1.000	['5', '5.3']=>['No']
117 	1.000	['7.7', '6.8']=>['No']
118 	1.000	['6', 'Nu']=>['No']
119 	1.000	['5.2', '6.8']=>['No']
120 	1.000	['6', '6.4']=>['No']
121 	1.000	['7', 'Nu']=>['No']
122 	1.000	['Nu', '60MT2']=>['No']
123 	1.000	['Nu', '7.5']=>['No']
124 	1.000	['8.2', 'Nu']=>['No']
125 	1.000	['6', '8.1']=>['No']
126 	1.000	['Nam', '9.2']=>['No']
127 	1.000	['Nam', '8.8']=>['No']
128 	1.000	['6.3', '60TH3']=>['No']
129 	1.000	['5.7', '7.4']=>['No']
130 	1.000	['Nam', '8.3']=>['No']
131 	1.000	['6.4', '60TH3']=>['No']
132 	1.000	['5.5', '6.5']=>['No']
133 	1.000	['6', '5.2']=>['No']
134 	1.000	['6.4', '6.8']=>['No']
135 	1.000	['5.3', '7']=>['No']
136 	1.000	['5.3', 'Nu']=>['No']
137 	1.000	['6.5', '6.2']=>['No']
138 	1.000	['7.9', '6.8']=>['No']
139 	1.000	['6.5', '7.4']=>['No']
140 	1.000	['60TH3', '7.7']=>['No']
141 	1.000	['5.7', 'Nam', '7']=>['No']
142 	1.000	['6', '6.3', '5.2']=>['No']
143 	1.000	['6', '5.3', 'Nam']=>['No']
144 	1.000	['7.3', 'Nam', '6.8']=>['No']
145 	1.000	['6', '7', '6.8']=>['No']
146 	1.000	['5.7', '5', 'Nam']=>['No']
147 	1.000	['5.7', '5', 'No']=>['Nam']
148 	1.000	['5.7', '5']=>['Nam', 'No']
149 	1.000	['6', '60TDH2', 'No']=>['Nam']
150 	1.000	['5', '5.3', 'Nam']=>['No']
151 	1.000	['Nam', '7.7', '6.8']=>['No']
152 	1.000	['6', 'Nam', '6.2']=>['No']
153 	1.000	['6.4', 'Nam', '7.4']=>['No']
154 	1.000	['Nam', '6.8', '7.5']=>['No']
155 	1.000	['6.3', 'Nam', '5.2']=>['No']
156 	1.000	['Nam', '7.4', '6.8']=>['No']
157 	1.000	['Nam', '7', '6.8']=>['No']
158 	1.000	['6', '6.4', 'Nam']=>['No']
159 	1.000	['5.5', '6.5', 'Nam']=>['No']
160 	1.000	['6', '7.4', '6.8']=>['No']
161 	1.000	['7', 'No', '60TDH1']=>['Nam']
162 	1.000	['6', 'Nam', '5.2']=>['No']
163 	1.000	['Nam', '7', '8.1']=>['No']
164 	1.000	['8.5', 'Nam', '7']=>['No']
165 	1.000	['7', 'Nu', '60MT2']=>['No']
166 	1.000	['6', 'No', '60TDH1']=>['Nam']
167 	1.000	['6', 'Nam', '7.5']=>['No']
168 	1.000	['5.3', '7', 'Nam']=>['No']
169 	1.000	['6', 'Nam', '5.7']=>['No']
170 	1.000	['Nam', '7', '7.4']=>['No']
171 	1.000	['Nam', '6.5', '6.2']=>['No']
172 	1.000	['6.6', 'Nam', '7']=>['No']
173 	1.000	['6', 'Nam', '6.8']=>['No']
174 	1.000	['6.4', 'Nam', '6.8']=>['No']
175 	1.000	['6.4', 'Nam', '7.6']=>['No']
176 	1.000	['6.4', 'Nam', '6.5']=>['No']
177 	1.000	['6', '7.2', 'Nam']=>['No']
178 	1.000	['Nam', '7', '6.2']=>['No']
179 	1.000	['6', 'Nam', '7.7']=>['No']
180 	1.000	['6.6', 'Nam', '6.5']=>['No']
181 	1.000	['6', 'Nam', '7', '6.8']=>['No']
182 	0.987	['Nu']=>['No']
183 	0.986	['6.4']=>['No']
184 	0.986	['7.5']=>['No']
185 	0.984	['6.4', 'Nam']=>['No']
186 	0.984	['7.9']=>['No']
187 	0.980	['5.2']=>['No']
188 	0.979	['Nam', '7.5']=>['No']
189 	0.978	['7.1']=>['No']
190 	0.977	['Nam', '7.9']=>['No']
191 	0.977	['Nam', '5.2']=>['No']
192 	0.976	['4.9']=>['No']
193 	0.975	['4.5']=>['No']
194 	0.974	['5.3']=>['No']
195 	0.973	['5.1']=>['No']
196 	0.973	['Nam', '7.1']=>['No']
197 	0.973	['Nam', '6.8']=>['No']
198 	0.972	['Nam', '8.1']=>['No']
199 	0.972	['5.8', '7']=>['No']
200 	0.971	['4.2']=>['No']
201 	0.971	['Yes']=>['Nam']
202 	0.971	['4.3']=>['No']
203 	0.971	['4.9', 'Nam']=>['No']
204 	0.970	['7.7']=>['No']
205 	0.969	['6.6']=>['No']
206 	0.969	['9.1']=>['No']
207 	0.969	['6.8']=>['No']
208 	0.968	['8.9']=>['No']
209 	0.968	['Nam', '5.1']=>['No']
210 	0.968	['Nam', '4.5']=>['No']
211 	0.967	['5.3', 'Nam']=>['No']
212 	0.967	['6.5']=>['No']
213 	0.967	['Yes', '0']=>['Nam']
214 	0.967	['6', '7.4']=>['No']
215 	0.966	['5', '7']=>['No']
216 	0.966	['6', '5.8']=>['No']
217 	0.964	['4.7']=>['No']
218 	0.964	['5.8', '6.8']=>['No']
219 	0.964	['Nam', '4.2']=>['No']
220 	0.964	['Nam', '4.3']=>['No']
221 	0.964	['6', '6.5']=>['No']
222 	0.964	['4.8']=>['No']
223 	0.964	['6.9']=>['No']
224 	0.963	['7.3', '7']=>['No']
225 	0.962	['7.4']=>['No']
226 	0.962	['6.6', 'Nam']=>['No']
227 	0.962	['5.9', '7']=>['No']
228 	0.962	['Nam', '7.7']=>['No']
229 	0.962	['9.1', 'Nam']=>['No']
230 	0.962	['5.8', 'Nam', '7']=>['No']
231 	0.961	['Nam', '6.5']=>['No']
232 	0.960	['5.7']=>['No']
233 	0.960	['6', '6.7']=>['No']
234 	0.960	['7.2', '7']=>['No']
235 	0.960	['6', '5']=>['No']
236 	0.960	['6', '5.8', 'Nam']=>['No']
237 	0.959	['7.2']=>['No']
238 	0.959	['5.6']=>['No']
239 	0.958	['5.9']=>['No']
240 	0.957	['8.1']=>['No']
241 	0.957	['5.3', '7.4']=>['No']
242 	0.957	['7.6', '7']=>['No']
243 	0.957	['5', '7', 'Nam']=>['No']
244 	0.957	['5.9', '7', 'Nam']=>['No']
245 	0.957	['6', 'Nam', '6.5']=>['No']
246 	0.956	['Nam', '4.8']=>['No']
247 	0.955	['Nu', '6.8']=>['No']
248 	0.955	['6.7', '7']=>['No']
249 	0.955	['6.4', '7']=>['No']
250 	0.955	['6', '7.3']=>['No']
251 	0.955	['60TH3', '7']=>['No']
252 	0.955	['6', 'Nam', '7.4']=>['No']
253 	0.955	['7.3', '7', 'Nam']=>['No']
254 	0.953	['5.7', 'Nam']=>['No']
255 	0.952	['4.1']=>['Nam']
256 	0.952	['6.2']=>['No']
257 	0.952	['Nam', '4.7']=>['No']
258 	0.952	['5.9', 'Nam']=>['No']
259 	0.952	['6.6', '7.3']=>['No']
260 	0.952	['8.9', 'Nam']=>['No']
261 	0.952	['5.8', 'Nam', '6.8']=>['No']
262 	0.952	['7.2', '7', 'Nam']=>['No']
263 	0.952	['6', '6.7', 'Nam']=>['No']
264 	0.951	['Nam', '6.9']=>['No']
265 	0.951	['60MT2']=>['No']
266 	0.950	['4.6', '7']=>['No']
267 	0.950	['7', '4.8']=>['No']
268 	0.950	['7.3', '6.5']=>['No']
269 	0.950	['5.3', 'Nam', '7.4']=>['No']
270 	0.950	['6', '5', 'Nam']=>['No']
271 	0.949	['Nam', '7.4']=>['No']
272 	0.947	['2.3']=>['Nam']
273 	0.947	['5.6', 'Nam']=>['No']
274 	0.947	['5.8', '7.5']=>['No']
275 	0.947	['5.4', '7']=>['No']
276 	0.947	['60TH3', '7.4']=>['No']
277 	0.947	['6', '6.9']=>['No']
278 	0.946	['8.4']=>['No']
279 	0.946	['6.3']=>['No']
280 	0.946	['8.7']=>['No']
281 	0.946	['7.2', 'Nam']=>['No']
282 	0.944	['8']=>['No']
283 	0.944	['Nam', '6.2']=>['No']
284 	0.944	['7', '7.9']=>['No']
285 	0.944	['7.6', '7.4']=>['No']
286 	0.944	['4.1', 'No']=>['Nam']
287 	0.944	['5.6', '6']=>['No']
288 	0.944	['6.3', '7.4']=>['No']
289 	0.944	['6.4', 'Nam', '7']=>['No']
290 	0.943	['6', '6.3']=>['No']
291 	0.941	['5.5', '6.5']=>['Nam']
292 	0.941	['5.4', '6']=>['No']
293 	0.941	['6', '60TDH2']=>['No']
294 	0.941	['6.8', '60MT2']=>['No']
295 	0.941	['6', '7.9']=>['No']
296 	0.941	['5.8', '60MT2']=>['No']
297 	0.941	['6', '60MT1']=>['No']
298 	0.941	['6', '7']=>['No']
299 	0.941	['6', '7.6']=>['No']
300 	0.941	['5.8', '5']=>['No']
301 	0.941	['5.8', '7.1']=>['No']
302 	0.941	['7.6', 'Nam', '7']=>['No']
303 	0.941	['6', '60TDH2', 'Nam']=>['No']
304 	0.941	['6', '60TDH2']=>['Nam', 'No']
305 	0.941	['60TH3', '7', 'Nam']=>['No']
306 	0.941	['6', 'Nam', '6.9']=>['No']
307 	0.941	['5.5', '6.5', 'No']=>['Nam']
308 	0.941	['5.5', '6.5']=>['Nam', 'No']
309 	0.941	['6.6', '7.3', 'Nam']=>['No']
310 	0.941	['6', '7.3', 'Nam']=>['No']
311 	0.939	['5.4']=>['No']
312 	0.938	['6.4', '7.6']=>['Nam']
313 	0.938	['6.7', '5.3']=>['No']
314 	0.938	['7', '8.4']=>['No']
315 	0.938	['6.7', '5.5']=>['No']
316 	0.938	['5.8', '6.5']=>['No']
317 	0.938	['6.5', '7']=>['No']
318 	0.938	['6.4', '5.5']=>['No']
319 	0.938	['4.4', '6']=>['No']
320 	0.938	['5.8', '6.6']=>['No']
321 	0.938	['60TH3', '6.9']=>['No']
322 	0.938	['4.4', '6']=>['Nam']
323 	0.938	['5.8', '6.3']=>['No']
324 	0.938	['60TH1', '7.5']=>['No']
325 	0.938	['5.4', 'Nam', '7']=>['No']
326 	0.938	['7.3', '6.5', 'Nam']=>['No']
327 	0.938	['6.4', '7.6', 'No']=>['Nam']
328 	0.938	['6.4', '7.6']=>['Nam', 'No']
329 	0.936	['60TH1']=>['No']
330 	0.935	['5.5']=>['No']
331 	0.935	['6', '5.5']=>['No']
332 	0.933	['7']=>['No']
333 	0.932	['Nam', '8']=>['No']
334 	0.932	['7.3']=>['No']
335 	0.931	['4']=>['Nam']
336 	0.931	['4', 'No']=>['Nam']
337 	0.931	['4']=>['Nam', 'No']
338 	0.931	['8.7', 'Nam']=>['No']
339 	0.929	['5.8']=>['No']
340 	0.929	['7.8']=>['No']
341 	0.929	['60KTD']=>['No']
342 	0.929	['Nam', '60KTD']=>['No']
343 	0.929	['60KTD']=>['Nam', 'No']
344 	0.929	['6', '0']=>['Nam']
345 	0.929	['7', '7.7']=>['No']
346 	0.929	['5.4', 'Nam']=>['No']
347 	0.929	['7', 'Nam', '6.5']=>['No']
348 	0.929	['6', 'Nam', '7']=>['No']
349 	0.926	['Nam', '8.4']=>['No']
350 	0.926	['6', '6.3', 'Nam']=>['No']
351 	0.923	['6.3', 'Nam']=>['No']
352 	0.923	['6', '5.3']=>['Nam']
353 	0.923	['5.5', '7']=>['No']
354 	0.923	['6', '5.3', 'No']=>['Nam']
355 	0.923	['6', '5.3']=>['Nam', 'No']
356 	0.923	['6', '5.5', 'Nam']=>['No']
357 	0.922	['5.5', 'Nam']=>['No']
358 	0.920	['60TH3']=>['No']
359 	0.920	['9.3']=>['Nam']
360 	0.920	['9.3', 'No']=>['Nam']
361 	0.920	['9.3']=>['Nam', 'No']
362 	0.919	['5']=>['No']
363 	0.918	['5', 'Nam']=>['No']
364 	0.916	['Nam', '7']=>['No']
365 	0.915	['60TH1', 'Nam']=>['No']
366 	0.915	['7.3', 'Nam']=>['No']
367 	0.914	['6']=>['No']
368 	0.913	['6.6', '7']=>['Nam']
369 	0.913	['5.8', '7.6']=>['No']
370 	0.913	['6.6', '7', 'No']=>['Nam']
371 	0.913	['6.6', '7']=>['Nam', 'No']
372 	0.912	['6', '60TH3']=>['Nam']
373 	0.909	['3.5']=>['Nam']
374 	0.909	['60TH1', '7']=>['No']
375 	0.909	['5.8', '0']=>['Nam']
376 	0.909	['5.8', 'Nam']=>['No']
377 	0.907	['Nam', '7.8']=>['No']
378 	0.906	['8.6']=>['Nam']
379 	0.906	['8.6', 'No']=>['Nam']
380 	0.906	['8.6']=>['Nam', 'No']
381 	0.905	['6.7']=>['No']
382 	0.905	['7', '60TDH1']=>['No']
383 	0.905	['6', '60TH1']=>['No']
384 	0.905	['5.7', '5.8']=>['No']
385 	0.905	['Nam', '7', '60TDH1']=>['No']
386 	0.905	['7', '60TDH1']=>['Nam', 'No']
387 	0.904	['0']=>['Nam']
388 	0.903	['Nam', '60MT2']=>['No']
389 	0.902	['4.6']=>['No']
390 	0.900	['7.6']=>['No']
391 	0.900	['6.4', '6.5']=>['Nam']
392 	0.900	['60TH3', 'Nam']=>['No']
393 	0.900	['6.4', '7.4']=>['Nam']
394 	0.900	['6.4', '7.4', 'No']=>['Nam']
395 	0.900	['6.4', '7.4']=>['Nam', 'No']
396 	0.900	['5.5', '7', 'Nam']=>['No']
397 	0.900	['Nam', '7', '7.7']=>['No']
398 	0.900	['6.4', '6.5', 'No']=>['Nam']
399 	0.900	['6.4', '6.5']=>['Nam', 'No']
400 	0.898	['6', 'Nam']=>['No']
401 	0.897	['6', '60TH3', 'No']=>['Nam']
402 	0.895	['Nam']=>['No']
403 	0.895	['2.9']=>['Nam']
404 	0.895	['6', '6.9']=>['Nam']
405 	0.895	['6.5', '60MT1']=>['No']
406 	0.895	['6.5', '60MT1']=>['Nam']
407 	0.895	['5.8', '7.8']=>['No']
408 	0.895	['7.3', '0']=>['Nam']
409 	0.895	['5.8', 'Nam', '7.6']=>['No']
410 	0.895	['6', 'No', '0']=>['Nam']
411 	0.893	['4.4', 'Nam']=>['No']
412 	0.889	['6.3', '7.8']=>['No']
413 	0.889	['6', '6.4']=>['Nam']
414 	0.889	['7', '6.2']=>['Nam']
415 	0.889	['5.7', '5.8', 'Nam']=>['No']
416 	0.889	['6', '6.9', 'No']=>['Nam']
417 	0.889	['6', '6.4', 'No']=>['Nam']
418 	0.889	['6', '6.4']=>['Nam', 'No']
419 	0.889	['6', '60TH1', 'Nam']=>['No']
420 	0.889	['7', 'No', '6.2']=>['Nam']
421 	0.889	['7', '6.2']=>['Nam', 'No']
422 	0.889	['60TH1', 'Nam', '7']=>['No']
423 	0.886	['3.6']=>['Nam']
424 	0.885	['Anh']=>['No']
425 	0.885	['7', '0']=>['Nam']
426 	0.885	['5.9', '7']=>['Nam']
427 	0.882	['3.8']=>['Nam']
428 	0.882	['9.5']=>['Nam']
429 	0.882	['4.4']=>['No']
430 	0.882	['60MT1']=>['No']
431 	0.882	['5.4', '6']=>['Nam']
432 	0.882	['9.5', 'No']=>['Nam']
433 	0.882	['9.5']=>['Nam', 'No']
434 	0.882	['6', '60TDH1']=>['No']
435 	0.882	['3.8', '7']=>['Nam']
436 	0.882	['6.6', '6.5']=>['Nam']
437 	0.882	['5.8', '60TH1']=>['No']
438 	0.882	['3.5', 'No']=>['Nam']
439 	0.882	['Nam', '6.5', '60MT1']=>['No']
440 	0.882	['6.5', 'No', '60MT1']=>['Nam']
441 	0.882	['5.8', 'No', '0']=>['Nam']
442 	0.882	['6', 'Nam', '60TDH1']=>['No']
443 	0.882	['6', '60TDH1']=>['Nam', 'No']
444 	0.882	['6.6', '6.5', 'No']=>['Nam']
445 	0.882	['6.6', '6.5']=>['Nam', 'No']
446 	0.880	['60TDH1']=>['No']
447 	0.880	['6.4', '6.8']=>['Nam']
448 	0.880	['Nam', '60TDH1']=>['No']
449 	0.880	['60TDH1']=>['Nam', 'No']
450 	0.880	['5.7', '6']=>['Nam']
451 	0.880	['6', '5.7', 'No']=>['Nam']
452 	0.880	['6', '5.7']=>['Nam', 'No']
453 	0.880	['5.9', '7', 'No']=>['Nam']
454 	0.880	['6.4', 'No', '6.8']=>['Nam']
455 	0.880	['6.4', '6.8']=>['Nam', 'No']
456 	0.877	['7.6', 'Nam']=>['No']
457 	0.875	['9']=>['No']
458 	0.875	['5.9']=>['Nam']
459 	0.875	['6.5', '7']=>['Nam']
460 	0.872	['3.8', 'No']=>['Nam']
461 	0.870	['6.1']=>['No']
462 	0.870	['6.7', 'Nam']=>['No']
463 	0.870	['5.9', 'No']=>['Nam']
464 	0.870	['5.3', '7.4']=>['Nam']
465 	0.868	['Nam', '4.6']=>['No']
466 	0.868	['Nam', '60MT1']=>['No']
467 	0.868	['No', '0']=>['Nam']
468 	0.867	['7', '6.5', 'No']=>['Nam']
469 	0.864	['5.3', '7.4', 'No']=>['Nam']
470 	0.863	['6.4']=>['Nam']
471 	0.862	['6', '5.8']=>['Nam']
472 	0.862	['No', '3.6']=>['Nam']
473 	0.861	['6.4', 'No']=>['Nam']
474 	0.860	['60TDH2']=>['No']
475 	0.860	['60TDH2', 'Nam']=>['No']
476 	0.860	['60TDH2']=>['Nam', 'No']
477 	0.860	['5.2']=>['Nam']
478 	0.857	['6.2']=>['Nam']
479 	0.857	['3.9']=>['Nam']
480 	0.857	['4.1']=>['No']
481 	0.857	['5.4']=>['Nam']
482 	0.857	['Yes']=>['0']
483 	0.857	['6', '60TH1']=>['Nam']
484 	0.857	['5.7', '5.8']=>['Nam']
485 	0.857	['5.2', 'No']=>['Nam']
486 	0.857	['6', '5.8', 'No']=>['Nam']
487 	0.856	['6.5']=>['Nam']
488 	0.853	['5.7']=>['Nam']
489 	0.853	['6', '60TH3']=>['No']
490 	0.853	['Yes', 'Nam']=>['0']
491 	0.851	['6.5', 'No']=>['Nam']
492 	0.850	['6', '4.6']=>['No']
493 	0.850	['No', '6.2']=>['Nam']
494 	0.850	['7.3', '6.8']=>['Nam']
495 	0.850	['4.1', 'Nam']=>['No']
496 	0.850	['7.3', 'No', '6.8']=>['Nam']
497 	0.850	['7.3', '6.8']=>['Nam', 'No']
498 	0.849	['6.4']=>['Nam', 'No']
499 	0.848	['5.4', 'No']=>['Nam']
500 	0.847	['5.7', 'No']=>['Nam']
501 	0.846	['5.9', '7']=>['Nam', 'No']
502 	0.844	['Nam', '6.1']=>['No']
503 	0.843	['6']=>['Nam']
504 	0.842	['5.4', '7']=>['Nam']
505 	0.842	['7.8', '8']=>['Nam']
506 	0.842	['0', '6.1']=>['Nam']
507 	0.842	['7.8', '8']=>['No']
508 	0.842	['7', '60MT1']=>['No']
509 	0.842	['5', '5.3']=>['Nam']
510 	0.842	['Nam', '9']=>['No']
511 	0.842	['5.7', '5.8', 'No']=>['Nam']
512 	0.842	['5', '5.3', 'No']=>['Nam']
513 	0.842	['5', '5.3']=>['Nam', 'No']
514 	0.842	['6', '6.9']=>['Nam', 'No']
515 	0.842	['6', '60TH1', 'No']=>['Nam']
516 	0.840	['10']=>['Nam']
517 	0.840	['6', '6.7']=>['Nam']
518 	0.840	['10', 'No']=>['Nam']
519 	0.840	['10']=>['Nam', 'No']
520 	0.840	['5.2']=>['Nam', 'No']
521 	0.840	['7.2', '7']=>['Nam']
522 	0.839	['6', '5.5']=>['Nam']
523 	0.839	['6', '60TH3', 'Nam']=>['No']
524 	0.838	['5.1']=>['Nam']
525 	0.833	['2.1']=>['Nam']
526 	0.833	['6.1']=>['Nam']
527 	0.833	['2']=>['Nam']
528 	0.833	['No', '5.1']=>['Nam']
529 	0.833	['6', '6.2']=>['Nam']
530 	0.833	['5.9']=>['Nam', 'No']
531 	0.833	['6', '5.6']=>['Nam']
532 	0.833	['Nam', 'Anh']=>['No']
533 	0.833	['4.4', 'No']=>['Nam']
534 	0.833	['2', 'No']=>['Nam']
535 	0.833	['5.4', '7', 'No']=>['Nam']
536 	0.833	['6', 'No', '6.2']=>['Nam']
537 	0.833	['6', '6.2']=>['Nam', 'No']
538 	0.833	['7.2', '7', 'No']=>['Nam']
539 	0.833	['6', '6.7', 'No']=>['Nam']
540 	0.829	['4.9']=>['Nam']
541 	0.829	['3.6']=>['No']
542 	0.829	['Yes']=>['Nam', '0']
543 	0.828	['6', 'No']=>['Nam']
544 	0.828	['6', '5.5', 'No']=>['Nam']
545 	0.828	['6', '5.8']=>['Nam', 'No']
546 	0.826	['9.4']=>['Nam']
547 	0.826	['9.4', 'No']=>['Nam']
548 	0.826	['9.4']=>['Nam', 'No']
549 	0.826	['5.8', '7.6']=>['Nam']
550 	0.826	['5.3', '7.4']=>['Nam', 'No']
551 	0.825	['4.9', 'No']=>['Nam']
552 	0.824	['5']=>['Nam']
553 	0.824	['4.4']=>['Nam']
554 	0.824	['4.3']=>['Nam']
555 	0.824	['5', 'No']=>['Nam']
556 	0.824	['6', '7']=>['Nam']
557 	0.823	['5.5']=>['Nam']
558 	0.822	['7.1']=>['Nam']
559 	0.822	['6.5']=>['Nam', 'No']
560 	0.821	['6', '6.5']=>['Nam']
561 	0.818	['4.8']=>['Nam']
562 	0.818	['60TH1', '7']=>['Nam']
563 	0.818	['7.1', 'No']=>['Nam']
564 	0.818	['6.4', '7']=>['Nam']
565 	0.818	['6', '7.7']=>['Nam']
566 	0.818	['4.3', 'No']=>['Nam']
567 	0.818	['6', '7.2']=>['Nam']
568 	0.818	['6', '7.2', 'No']=>['Nam']
569 	0.818	['6', '7.2']=>['Nam', 'No']
570 	0.818	['6', '7.7', 'No']=>['Nam']
571 	0.818	['6', '7.7']=>['Nam', 'No']
572 	0.815	['8']=>['Nam']
573 	0.815	['7.3', '7']=>['Nam']
574 	0.815	['6', '6.5', 'No']=>['Nam']
575 	0.814	['7.6']=>['Nam']
576 	0.813	['5.7']=>['Nam', 'No']
577 	0.812	['9.1']=>['Nam']
578 	0.812	['7', '6.5']=>['Nam', 'No']
579 	0.812	['6', '7', 'No']=>['Nam']
580 	0.811	['4.8', 'No']=>['Nam']
581 	0.811	['5.1']=>['Nam', 'No']
582 	0.810	['5.5', 'No']=>['Nam']
583 	0.810	['6.2']=>['Nam', 'No']
584 	0.810	['6.6', '7.3']=>['Nam']
585 	0.810	['4.1']=>['Nam', 'No']
586 	0.810	['5.8', '7.6', 'No']=>['Nam']
587 	0.810	['6.4', '7', 'No']=>['Nam']
588 	0.809	['No', '6.1']=>['Nam']
589 	0.808	['7.3']=>['Nam']
590 	0.808	['7.3', '7', 'No']=>['Nam']
591 	0.806	['3.7']=>['No']
592 	0.806	['3.7']=>['Nam']
593 	0.806	['9.1', 'No']=>['Nam']
594 	0.806	['Nam', '3.6']=>['No']
595 	0.805	['4.9']=>['Nam', 'No']
596 	0.804	['No', '8']=>['Nam']
597 	0.803	['5.3']=>['Nam']
598 	0.800	['60TH3']=>['Nam']
599 	0.800	['4.2']=>['Nam']
600 	0.800	['6.6']=>['Nam']
601 	0.800	['3.2']=>['No']
602 	0.800	['2']=>['No']
603 	0.800	['3.2']=>['Nam']
